0.0299354 0.0265447 0.0197355 0.0129035 0.130972 0.990926 0.185707 0.196131 0.850527 0.456063 0.589338 0.000692109 0.305597 0.43868 0.995577 0.41237 0.812946 0.000192445 	0.0149677 0.00920216 0.00730944 0.00286743 0.111265 0.990711 0.157737 0.187829 0.861055 0.451267 0.577619 0.000832279 0.303048 0.444928 0.994807 0.329866 0.805706 0.000171323 	0.00498923 0.00141572 0.00438566 0 0.13174 0.989665 0.174735 0.186794 0.853752 0.443244 0.622253 0.00099978 0.308554 0.451909 0.994838 0.309518 0.842056 0.000172437 		0.00143372
0.0149677 0.00920216 0.00730944 0.00286743 0.111265 0.990711 0.157737 0.187829 0.861055 0.451267 0.577619 0.000832279 0.303048 0.444928 0.994807 0.329866 0.805706 0.000171323 	0.00498923 0.00141572 0.00438566 0 0.13174 0.989665 0.174735 0.186794 0.853752 0.443244 0.622253 0.00099978 0.308554 0.451909 0.994838 0.309518 0.842056 0.000172437 	0 0 0 0.00143372 0.112808 0.988619 0.164013 0.179159 0.860253 0.413991 0.606922 0.00124139 0.309731 0.474505 0.99475 0.237491 0.825133 0.000146473 		0.0189968
0.00498923 0.00141572 0.00438566 0 0.13174 0.989665 0.174735 0.186794 0.853752 0.443244 0.622253 0.00099978 0.308554 0.451909 0.994838 0.309518 0.842056 0.000172437 	0 0 0 0.00143372 0.112808 0.988619 0.164013 0.179159 0.860253 0.413991 0.606922 0.00124139 0.309731 0.474505 0.99475 0.237491 0.825133 0.000146473 	0.00392011 0.0166347 0.00475114 0.0189968 0.201467 0.986537 0.160954 0.171628 0.853882 0.439346 0.568527 0.000729927 0.3213 0.406631 0.994063 0.339483 0.824501 0.00014083 		0.045879
0 0 0 0.00143372 0.112808 0.988619 0.164013 0.179159 0.860253 0.413991 0.606922 0.00124139 0.309731 0.474505 0.99475 0.237491 0.825133 0.000146473 	0.00392011 0.0166347 0.00475114 0.0189968 0.201467 0.986537 0.160954 0.171628 0.853882 0.439346 0.568527 0.000729927 0.3213 0.406631 0.994063 0.339483 0.824501 0.00014083 	0.0299354 0.0488423 0.0332579 0.045879 0.262435 0.987478 0.184249 0.16837 0.845928 0.430581 0.579804 0.000612852 0.332386 0.41799 0.995509 0.374031 0.816951 0.000185553 		0.055915
0.00392011 0.0166347 0.00475114 0.0189968 0.201467 0.986537 0.160954 0.171628 0.853882 0.439346 0.568527 0.000729927 0.3213 0.406631 0.994063 0.339483 0.824501 0.00014083 	0.0299354 0.0488423 0.0332579 0.045879 0.262435 0.987478 0.184249 0.16837 0.845928 0.430581 0.579804 0.000612852 0.332386 0.41799 0.995509 0.374031 0.816951 0.000185553 	0.0466849 0.0537973 0.0500697 0.055915 0.251426 0.985024 0.181389 0.158329 0.842559 0.399872 0.513808 0.000632534 0.342858 0.431823 0.996032 0.458652 0.807746 0.000177374 		0.0666679
0.0299354 0.0488423 0.0332579 0.045879 0.262435 0.987478 0.184249 0.16837 0.845928 0.430581 0.579804 0.000612852 0.332386 0.41799 0.995509 0.374031 0.816951 0.000185553 	0.0466849 0.0537973 0.0500697 0.055915 0.251426 0.985024 0.181389 0.158329 0.842559 0.399872 0.513808 0.000632534 0.342858 0.431823 0.996032 0.458652 0.807746 0.000177374 	0.0595143 0.0629994 0.065054 0.0666679 0.232949 0.986316 0.198571 0.175778 0.830142 0.390042 0.625613 0.000903647 0.347532 0.492 0.997176 0.43135 0.848536 0.000226404 		0.0756286
0.0466849 0.0537973 0.0500697 0.055915 0.251426 0.985024 0.181389 0.158329 0.842559 0.399872 0.513808 0.000632534 0.342858 0.431823 0.996032 0.458652 0.807746 0.000177374 	0.0595143 0.0629994 0.065054 0.0666679 0.232949 0.986316 0.198571 0.175778 0.830142 0.390042 0.625613 0.000903647 0.347532 0.492 0.997176 0.43135 0.848536 0.000226404 	0.071631 0.0722016 0.0734599 0.0756286 0.280979 0.986612 0.188524 0.17061 0.820632 0.372207 0.633903 0.00105876 0.346801 0.533256 0.997934 0.477886 0.834551 0.00025442 		0.0992849
0.0595143 0.0629994 0.065054 0.0666679 0.232949 0.986316 0.198571 0.175778 0.830142 0.390042 0.625613 0.000903647 0.347532 0.492 0.997176 0.43135 0.848536 0.000226404 	0.071631 0.0722016 0.0734599 0.0756286 0.280979 0.986612 0.188524 0.17061 0.820632 0.372207 0.633903 0.00105876 0.346801 0.533256 0.997934 0.477886 0.834551 0.00025442 	0.074482 0.101932 0.0796729 0.0992849 0.270111 0.987573 0.167874 0.185069 0.822103 0.403853 0.62344 0.000593682 0.34921 0.487292 0.997808 0.557762 0.802939 0.00024902 		0.10036
0.071631 0.0722016 0.0734599 0.0756286 0.280979 0.986612 0.188524 0.17061 0.820632 0.372207 0.633903 0.00105876 0.346801 0.533256 0.997934 0.477886 0.834551 0.00025442 	0.074482 0.101932 0.0796729 0.0992849 0.270111 0.987573 0.167874 0.185069 0.822103 0.403853 0.62344 0.000593682 0.34921 0.487292 0.997808 0.557762 0.802939 0.00024902 	0.104417 0.105117 0.105987 0.10036 0.157983 0.989152 0.227405 0.197937 0.812711 0.415709 0.622592 0.000365519 0.340909 0.460743 0.998348 0.625276 0.79282 0.000324709 		0.140863
0.074482 0.101932 0.0796729 0.0992849 0.270111 0.987573 0.167874 0.185069 0.822103 0.403853 0.62344 0.000593682 0.34921 0.487292 0.997808 0.557762 0.802939 0.00024902 	0.104417 0.105117 0.105987 0.10036 0.157983 0.989152 0.227405 0.197937 0.812711 0.415709 0.622592 0.000365519 0.340909 0.460743 0.998348 0.625276 0.79282 0.000324709 	0.10121 0.147942 0.103429 0.140863 0.278905 0.986436 0.162215 0.126572 0.801867 0.376949 0.548202 0.000621459 0.377119 0.508048 0.998237 0.722291 0.784126 0.000311989 		0.152332
