0.0299354 0.0265447 0.0197355 0.0129035 0.130972 0.677241 0.802564 0.701111 0.698708 0.366027 0.673733 0.241918 	0.0149677 0.00920216 0.00730944 0.00286743 0.111265 0.684234 0.81402 0.707612 0.705034 0.365265 0.674661 0.236313 	0.00498923 0.00141572 0.00438566 0 0.13174 0.666792 0.807871 0.709708 0.703711 0.383046 0.681061 0.233713 		0.00143372
0.0149677 0.00920216 0.00730944 0.00286743 0.111265 0.684234 0.81402 0.707612 0.705034 0.365265 0.674661 0.236313 	0.00498923 0.00141572 0.00438566 0 0.13174 0.666792 0.807871 0.709708 0.703711 0.383046 0.681061 0.233713 	0 0 0 0.00143372 0.112808 0.685955 0.807938 0.710205 0.703992 0.388765 0.67524 0.237846 		0.0189968
0.00498923 0.00141572 0.00438566 0 0.13174 0.666792 0.807871 0.709708 0.703711 0.383046 0.681061 0.233713 	0 0 0 0.00143372 0.112808 0.685955 0.807938 0.710205 0.703992 0.388765 0.67524 0.237846 	0.00392011 0.0166347 0.00475114 0.0189968 0.201467 0.674331 0.817103 0.703194 0.709534 0.381376 0.656608 0.249246 		0.045879
0 0 0 0.00143372 0.112808 0.685955 0.807938 0.710205 0.703992 0.388765 0.67524 0.237846 	0.00392011 0.0166347 0.00475114 0.0189968 0.201467 0.674331 0.817103 0.703194 0.709534 0.381376 0.656608 0.249246 	0.0299354 0.0488423 0.0332579 0.045879 0.262435 0.681639 0.795444 0.699194 0.717439 0.376767 0.658301 0.246114 		0.055915
0.00392011 0.0166347 0.00475114 0.0189968 0.201467 0.674331 0.817103 0.703194 0.709534 0.381376 0.656608 0.249246 	0.0299354 0.0488423 0.0332579 0.045879 0.262435 0.681639 0.795444 0.699194 0.717439 0.376767 0.658301 0.246114 	0.0466849 0.0537973 0.0500697 0.055915 0.251426 0.689592 0.806155 0.70338 0.708715 0.364946 0.62743 0.274427 		0.0666679
0.0299354 0.0488423 0.0332579 0.045879 0.262435 0.681639 0.795444 0.699194 0.717439 0.376767 0.658301 0.246114 	0.0466849 0.0537973 0.0500697 0.055915 0.251426 0.689592 0.806155 0.70338 0.708715 0.364946 0.62743 0.274427 	0.0595143 0.0629994 0.065054 0.0666679 0.232949 0.678503 0.772759 0.70735 0.70132 0.381271 0.662237 0.253115 		0.0756286
0.0466849 0.0537973 0.0500697 0.055915 0.251426 0.689592 0.806155 0.70338 0.708715 0.364946 0.62743 0.274427 	0.0595143 0.0629994 0.065054 0.0666679 0.232949 0.678503 0.772759 0.70735 0.70132 0.381271 0.662237 0.253115 	0.071631 0.0722016 0.0734599 0.0756286 0.280979 0.692496 0.761439 0.700169 0.68087 0.382506 0.660942 0.255593 		0.0992849
0.0595143 0.0629994 0.065054 0.0666679 0.232949 0.678503 0.772759 0.70735 0.70132 0.381271 0.662237 0.253115 	0.071631 0.0722016 0.0734599 0.0756286 0.280979 0.692496 0.761439 0.700169 0.68087 0.382506 0.660942 0.255593 	0.074482 0.101932 0.0796729 0.0992849 0.270111 0.696651 0.751791 0.689006 0.688847 0.383439 0.666611 0.253962 		0.10036
0.071631 0.0722016 0.0734599 0.0756286 0.280979 0.692496 0.761439 0.700169 0.68087 0.382506 0.660942 0.255593 	0.074482 0.101932 0.0796729 0.0992849 0.270111 0.696651 0.751791 0.689006 0.688847 0.383439 0.666611 0.253962 	0.104417 0.105117 0.105987 0.10036 0.157983 0.693841 0.742652 0.683325 0.692226 0.380873 0.673352 0.247615 		0.140863
0.074482 0.101932 0.0796729 0.0992849 0.270111 0.696651 0.751791 0.689006 0.688847 0.383439 0.666611 0.253962 	0.104417 0.105117 0.105987 0.10036 0.157983 0.693841 0.742652 0.683325 0.692226 0.380873 0.673352 0.247615 	0.10121 0.147942 0.103429 0.140863 0.278905 0.717811 0.757402 0.68323 0.683924 0.35541 0.603965 0.287891 		0.152332
